Env,PS_mean,PS_max,PS_min,PS_std,RH2M_mean,RH2M_max,RH2M_min,RH2M_std,T2MWET_mean,T2MWET_max,T2MWET_min,T2MWET_std,T2M_mean,T2M_max,T2M_min,T2M_std,WS2M_mean,WS2M_max,WS2M_min,WS2M_std,ALLSKY_SFC_SW_DWN_mean,ALLSKY_SFC_SW_DWN_max,ALLSKY_SFC_SW_DWN_min,ALLSKY_SFC_SW_DWN_std,QV2M_mean,QV2M_max,QV2M_min,QV2M_std,T2M_MIN_mean,T2M_MIN_max,T2M_MIN_min,T2M_MIN_std,T2MDEW_mean,T2MDEW_max,T2MDEW_min,T2MDEW_std,T2M_MAX_mean,T2M_MAX_max,T2M_MAX_min,T2M_MAX_std,PRECTOTCORR_mean,PRECTOTCORR_max,PRECTOTCORR_min,PRECTOTCORR_std
DEH1_2024,101.64689,77.52866,17.113262,19.38035,2.6950936,16.68301,11.1740055,14.389897,14.8460455,24.730463,4.2493005,103.01,94.25,27.36,31.05,6.09,30.25,19.96,26.37,25.2,36.35,48.16,99.87,52.75,5.83,8.41,0.98,3.22,4.03,3.68,0.8,10.4,0.0,0.5871695,7.3132634,5.736724,5.8464217,0.9077492,7.9302273,3.9647903,6.470998,5.7779374,5.752028,6.018424
GAH1_2024,100.47542,79.89594,21.437765,23.490509,2.2036288,18.617203,14.561973,18.808784,19.386103,28.513836,5.131777,101.7,95.44,27.67,31.71,7.95,29.4,21.55,26.47,26.37,38.65,147.63,98.94,54.19,4.61,8.12,0.76,3.35,4.15,0.95,1.1,15.69,0.0,0.4070122,8.750431,4.428515,4.5227275,1.0176802,7.0310025,3.549173,5.2524695,4.5836253,4.3176694,13.84194
GAH2_2024,99.696014,75.65228,19.570938,22.340137,0.09258681,17.244886,12.471749,17.207237,16.804726,28.467371,3.9758272,101.0,95.38,27.2,31.67,0.54,30.41,19.29,25.38,24.37,40.09,83.04,97.71,40.56,6.54,10.41,0.03,2.65,4.52,2.72,2.3,16.3,0.0,0.46329996,12.387147,4.5583,5.3856387,0.07276577,8.32199,3.0882866,4.8785806,4.238677,6.878368,9.451315
IAH2_2024,96.82832,76.23346,13.280176,15.643888,2.9594636,14.381471,9.163876,11.21058,10.920438,21.061663,3.5808575,98.36,96.0,26.19,27.68,6.35,32.25,20.81,23.44,25.06,34.09,77.03,95.76,42.31,1.55,6.3,0.64,1.8,2.87,-0.7,-4.12,9.17,0.0,0.5029765,12.29184,6.300794,6.626525,0.9116683,8.061913,4.060475,5.719871,6.309324,7.058543,7.827221
IAH4_2024,97.73864,77.20833,13.938445,16.179424,2.988142,15.699882,9.547587,11.210569,11.700969,21.592041,4.0427027,99.36,95.25,26.23,27.35,6.11,32.24,21.0,24.12,25.37,32.62,78.59,96.48,47.69,2.33,5.82,0.63,2.13,3.17,-0.49,-2.76,10.3,0.0,0.52826285,10.5648155,6.0593343,6.145637,0.95435673,7.4280057,4.058206,5.845093,6.2151766,6.337093,8.0669155
ILH1_2024,99.04898,78.05328,15.643885,17.802721,2.7872608,16.66211,10.384109,12.122308,13.487343,23.648813,4.0274086,100.61,95.19,26.51,27.43,6.81,31.27,21.3,23.66,25.78,33.43,88.26,97.82,52.38,3.4,5.73,0.88,2.48,3.78,-0.32,-0.02,9.93,0.0,0.4850327,8.5610485,5.162243,5.222496,1.050681,7.106328,3.563881,5.5880356,5.2800703,4.7611976,10.769748
INH1_2024,98.89171,78.02161,15.3972025,17.536707,2.8688061,16.541527,10.219517,12.081225,13.263391,23.375158,5.206763,100.47,96.06,26.05,27.4,6.39,31.41,20.69,23.19,25.27,32.89,48.06,97.76,58.5,4.32,6.35,0.8,2.64,4.03,0.63,0.55,10.2,0.0,0.49734104,7.6385016,5.084176,5.0912757,1.1597387,7.061546,3.5266888,5.309428,5.216954,4.475687,7.6309566
MIH1_2024,98.12284,80.97874,13.356215,15.128947,2.8758278,13.796784,9.297197,9.830542,11.584101,20.949867,8.258799,99.74,95.0,24.81,26.82,6.43,31.42,19.35,22.4,24.15,31.5,107.03,96.94,54.0,3.15,4.85,0.84,3.17,4.27,-1.08,1.42,9.14,0.0,0.5449805,7.2779026,5.500353,5.7184186,1.0570375,8.55424,3.4221783,5.615703,5.397077,5.1765547,12.486274
MNH1_2024,97.4335,81.0543,13.14391,14.954612,2.844283,13.940855,9.256435,10.388357,11.330475,19.787579,3.6228518,99.09,93.62,26.02,26.84,6.62,31.65,20.75,23.16,25.2,30.87,68.2,95.99,45.5,0.87,3.15,0.72,1.53,3.11,-1.75,-2.99,7.83,0.0,0.5630924,10.795354,5.8087225,6.020328,0.9813978,8.66002,3.7074761,5.3623056,5.8348,6.789707,8.06368
MOH1_2024,98.88231,75.33366,15.494889,17.995905,2.4800355,17.140701,10.265995,12.65015,12.990014,23.823769,2.8157544,100.35,95.06,26.67,30.18,5.74,30.66,20.81,24.84,25.4,38.58,124.63,97.57,48.88,2.75,7.92,0.52,1.82,3.23,0.18,-2.42,13.24,0.0,0.4245082,9.748574,6.2812314,6.444062,0.83697313,6.6636343,4.259921,6.35813,6.3603644,6.5207396,10.903318
